Index,Title,Artist,Top Genre,Year,Beats Per Minute (BPM),Energy,Danceability,Loudness (dB),Liveness,Valence,Length (Duration),Acousticness,Speechiness,Popularity
566,Thinking out Loud,Ed Sheeran,pop,2014,79,45,78,-6,18,59,282,47,3,84
578,Photograph,Ed Sheeran,pop,2014,108,38,61,-10,10,20,259,61,5,84
684,Perfect,Ed Sheeran,pop,2017,95,45,60,-6,11,17,263,16,2,87
688,Shape of You,Ed Sheeran,pop,2017,96,65,83,-3,9,93,234,58,8,87
692,Castle on the Hill,Ed Sheeran,pop,2017,135,83,46,-5,14,47,261,2,10,79
709,Happier,Ed Sheeran,pop,2017,90,39,52,-7,14,24,208,54,3,83
710,Galway Girl,Ed Sheeran,pop,2017,100,88,62,-3,33,78,171,7,10,80
712,Supermarket Flowers,Ed Sheeran,pop,2017,90,24,59,-11,9,26,221,91,4,78
437,Levels,Avicii,big room,2011,126,83,60,-7,34,35,339,3,4,58
523,Wake Me Up,Avicii,big room,2013,124,78,53,-6,16,64,247,0,5,85
527,Hey Brother,Avicii,big room,2013,125,78,55,-5,8,46,255,3,4,78
542,Addicted To You,Avicii,big room,2013,128,79,57,-4,9,30,148,5,5,69
44,American Idiot,Green Day,modern rock,2004,186,99,38,-2,37,77,176,0,6,78
96,21 Guns,Green Day,modern rock,2009,160,74,27,-5,63,42,321,5,4,75
213,Wake Me up When September Ends,Green Day,modern rock,2004,105,81,55,-5,10,15,286,2,3,77
686,Boulevard of Broken Dreams,Green Day,modern rock,2017,167,68,50,-4,6,47,262,1,3,74
713,Holiday,Green Day,modern rock,2017,147,89,55,-3,89,72,233,0,3,67
1637,Basket Case,Green Day,modern rock,1994,85,94,44,-3,9,78,182,0,6,79
1650,When I Come Around,Green Day,modern rock,1994,98,91,53,-4,23,81,178,2,3,75
1736,Good Riddance (Time of Your Life),Green Day,modern rock,1997,95,43,48,-8,16,65,153,18,3,75
9,Mr. Brightside,The Killers,modern rock,2004,148,92,36,-4,10,23,223,0,8,77
24,Somebody Told Me,The Killers,modern rock,2004,138,99,51,-3,12,65,197,0,9,69
307,Human,The Killers,modern rock,2008,135,80,56,-8,9,58,245,0,6,73
76,Dirty Diana,Michael Jackson,pop,2003,131,80,75,-5,42,37,281,24,5,55
247,Will You Be There - Single Version,Michael Jackson,pop,2005,83,63,41,-7,8,44,220,51,7,53
290,Black or White - Single Version,Michael Jackson,pop,2005,115,89,74,-4,9,96,203,8,5,64
600,Love Never Felt So Good,Michael Jackson,pop,2014,118,72,78,-6,7,71,246,13,4,70
685,Thriller,Michael Jackson,pop,2017,118,89,76,-4,85,72,358,8,7,69
893,Ben - Single Version,Michael Jackson,pop,1972,136,16,44,-11,11,29,167,91,3,53
1135,Don't Stop 'Til You Get Enough - Single Version,Michael Jackson,pop,1979,119,82,88,-10,18,95,365,13,9,74
1142,Off the Wall,Michael Jackson,pop,1979,119,60,83,-14,8,92,246,18,6,62
1148,Rock with You - Single Version,Michael Jackson,pop,1979,114,54,81,-13,16,85,221,18,4,73
1210,Billie Jean,Michael Jackson,pop,1982,117,65,92,-3,4,85,294,2,4,81
1229,Human Nature,Michael Jackson,pop,1982,93,51,62,-10,26,69,246,54,3,65
1232,P.Y.T. (Pretty Young Thing),Michael Jackson,pop,1982,127,82,89,-5,13,96,239,23,4,71
1233,Wanna Be Startin' Somethin',Michael Jackson,pop,1982,122,92,85,-4,6,90,362,2,4,64
1398,Smooth Criminal - 2012 Remaster,Michael Jackson,pop,1987,118,98,85,-4,31,60,258,25,8,76
1415,The Way You Make Me Feel - 2012 Remaster,Michael Jackson,pop,1987,114,85,88,-5,14,54,298,5,15,72
1417,Bad - 2012 Remaster,Michael Jackson,pop,1987,114,89,79,-4,7,39,247,0,4,68
1431,Liberian Girl - 2012 Remastered Version,Michael Jackson,pop,1987,105,55,75,-7,13,45,233,46,10,59
1546,Heal the World,Michael Jackson,pop,1991,81,49,53,-8,10,10,384,54,5,68
1660,Earth Song,Michael Jackson,pop,1995,138,44,50,-8,9,14,406,48,3,63
1662,Man in the Mirror,Michael Jackson,pop,1995,100,80,79,-6,11,27,319,43,4,64
1664,Beat It,Michael Jackson,pop,1995,139,80,76,-6,17,91,258,3,4,60
1668,They Don't Care About Us,Michael Jackson,pop,1995,90,91,86,-6,32,73,284,21,13,69
1686,Stranger in Moscow,Michael Jackson,pop,1995,130,47,80,-9,32,59,344,25,4,58
35,Tears Dry On Their Own,Amy Winehouse,british soul,2006,122,87,64,-3,29,45,185,49,12,72
133,Love Is A Losing Game,Amy Winehouse,british soul,2006,165,56,48,-6,18,54,154,32,3,67
136,You Know I'm No Good,Amy Winehouse,british soul,2006,103,81,71,-4,7,73,257,1,3,74
250,Back To Black,Amy Winehouse,british soul,2006,123,73,49,-3,10,34,240,12,4,77
333,Rehab,Amy Winehouse,british soul,2006,72,87,43,-3,40,73,214,5,7,74
89,This Is Not America - 2002 Remaster,David Bowie,album rock,2002,115,67,72,-12,5,65,231,6,4,43
658,Lazarus,David Bowie,album rock,2016,130,70,66,-7,9,51,382,5,3,61
671,Blackstar,David Bowie,album rock,2016,98,55,37,-8,18,11,598,21,3,55
822,The Man Who Sold the World - 2015 Remaster,David Bowie,album rock,1970,118,39,47,-14,14,55,241,64,3,63
847,Life on Mars? - 2015 Remaster,David Bowie,album rock,1971,123,38,44,-15,5,22,236,64,4,71
864,Changes - 2015 Remaster,David Bowie,album rock,1971,115,31,55,-12,11,41,218,51,4,66
887,Starman - 2012 Remaster,David Bowie,album rock,1972,100,45,49,-10,54,55,254,17,3,74
897,Ziggy Stardust - 2012 Remaster,David Bowie,album rock,1972,161,56,44,-12,21,50,194,5,12,64
936,The Jean Genie - 2013 Remaster,David Bowie,album rock,1973,128,57,58,-9,36,82,248,38,3,64
950,Rebel Rebel - 2016 Remaster,David Bowie,album rock,1974,126,69,64,-16,28,46,275,21,5,74
994,Fame - 2016 Remaster,David Bowie,album rock,1975,95,56,79,-10,8,67,261,45,5,60
1009,Wild Is the Wind - 2016 Remaster,David Bowie,album rock,1976,98,58,52,-13,5,49,366,2,3,53
1016,Golden Years - 2016 Remaster,David Bowie,album rock,1976,108,70,68,-10,11,93,243,32,4,60
1031,Heroes - 2017 Remaster,David Bowie,album rock,1977,112,76,49,-6,9,44,371,0,3,75
1061,Sound and Vision - 2017 Remaster,David Bowie,album rock,1977,106,80,67,-9,6,76,184,3,4,62
1171,Ashes to Ashes - 2017 Remaster,David Bowie,album rock,1980,120,74,71,-11,26,87,266,27,5,62
1243,Let's Dance - 2018 Remaster,David Bowie,album rock,1983,115,74,65,-7,15,63,458,1,6,71
1244,China Girl - 2002 Remaster,David Bowie,album rock,1983,134,63,65,-10,11,87,257,2,3,57
1327,Dancing in the Street - 2002 Remaster,David Bowie,album rock,1985,131,82,60,-14,13,74,205,12,4,57
1364,Absolute Beginners - 2002 Remaster,David Bowie,album rock,1986,114,77,56,-9,21,43,338,7,4,46
1949,Space Oddity - 2015 Remaster,David Bowie,album rock,1969,140,44,30,-13,18,43,319,7,3,73
54,The Unforgiven III,Metallica,alternative metal,2008,122,77,30,-3,12,9,467,0,3,52
1276,Fade To Black (Remastered),Metallica,alternative metal,1984,113,93,26,-7,11,28,417,0,11,62
1345,Master of Puppets (Remastered),Metallica,alternative metal,1986,105,83,54,-9,15,56,515,0,4,67
1433,One (Remastered),Metallica,alternative metal,1988,103,69,44,-9,42,43,446,0,6,67
1519,Nothing Else Matters,Metallica,alternative metal,1991,142,36,56,-11,8,17,389,5,3,69
1523,Enter Sandman,Metallica,alternative metal,1991,123,82,58,-9,6,64,332,0,3,74
1533,The Unforgiven,Metallica,alternative metal,1991,139,60,54,-10,13,25,387,1,3,65
1540,Sad But True,Metallica,alternative metal,1991,89,85,63,-6,6,43,325,0,3,63
1733,The Unforgiven II,Metallica,alternative metal,1997,133,88,49,-5,27,25,396,0,4,55
1745,The Memory Remains,Metallica,alternative metal,1997,144,90,43,-4,21,60,279,0,4,51
1758,Whiskey In The Jar,Metallica,alternative metal,1998,133,97,51,-4,19,53,305,0,4,61
162,Goodnight Saigon,Billy Joel,album rock,2001,129,39,59,-14,7,15,423,13,6,46
235,Piano Man,Billy Joel,album rock,2001,179,47,33,-9,32,43,336,60,3,70
1015,New York State of Mind,Billy Joel,album rock,1976,121,37,51,-9,32,20,362,50,3,61
1041,She's Always a Woman,Billy Joel,album rock,1977,177,32,29,-12,12,38,201,80,3,72
1072,Scenes from an Italian Restaurant,Billy Joel,album rock,1977,98,93,42,-5,11,34,457,41,13,60
1079,Just the Way You Are,Billy Joel,album rock,1977,139,45,59,-9,13,51,291,70,4,68
1108,Honesty,Billy Joel,album rock,1978,135,27,55,-15,11,21,234,42,3,59
1252,Uptown Girl,Billy Joel,album rock,1983,129,94,70,-3,60,79,198,7,5,77
1470,Leningrad,Billy Joel,album rock,1989,139,52,51,-6,12,23,243,38,3,49
1487,We Didn't Start the Fire,Billy Joel,album rock,1989,145,97,71,-5,36,90,288,8,5,73
4,The Pretender,Foo Fighters,alternative metal,2007,173,96,43,-4,3,37,269,0,4,76
39,All My Life,Foo Fighters,alternative metal,2002,168,60,58,-6,48,65,263,0,5,72
90,Times Like These,Foo Fighters,alternative metal,2002,145,91,38,-4,24,27,266,0,9,65
127,Best of You,Foo Fighters,alternative metal,2005,130,94,37,-5,19,37,256,0,7,75
225,Everlong - Acoustic Version,Foo Fighters,alternative metal,2009,144,34,64,-11,11,55,251,91,3,69
444,Walk,Foo Fighters,alternative metal,2011,138,87,23,-5,29,19,256,0,5,69
474,These Days,Foo Fighters,alternative metal,2011,135,66,53,-4,21,22,298,0,3,64
1724,Everlong,Foo Fighters,alternative metal,1997,158,88,41,-6,8,36,251,0,4,77
1803,Learn to Fly,Foo Fighters,alternative metal,1999,136,92,47,-4,26,54,235,0,4,74
9,Mr. Brightside,The Killers,modern rock,2004,148,92,36,-4,10,23,223,0,8,77
24,Somebody Told Me,The Killers,modern rock,2004,138,99,51,-3,12,65,197,0,9,69
307,Human,The Killers,modern rock,2008,135,80,56,-8,9,58,245,0,6,73
38,The Saints Are Coming,U2,irish rock,2006,152,81,32,-7,15,12,202,8,5,40
57,Sometimes You Can't Make It On Your Own,U2,irish rock,2004,96,60,53,-6,11,35,305,0,2,57
184,Magnificent,U2,irish rock,2009,115,72,53,-6,11,59,324,0,3,44
194,Stuck In A Moment You Can't Get Out Of,U2,irish rock,2000,159,64,52,-5,17,32,272,39,2,52
278,City Of Blinding Lights,U2,irish rock,2004,139,77,44,-4,11,20,346,0,3,60
317,Vertigo,U2,irish rock,2004,140,82,42,-4,15,63,194,0,6,65
326,Beautiful Day,U2,irish rock,2000,136,93,54,-6,36,45,246,1,5,63
376,Elevation,U2,irish rock,2000,110,80,58,-8,5,42,226,0,4,49
619,Ordinary Love,U2,irish rock,2015,121,48,66,-9,18,35,219,4,3,45
1237,Sunday Bloody Sunday - Remastered 2008,U2,irish rock,1983,101,94,54,-7,4,74,279,40,5,72
1259,Gloria - Live,U2,irish rock,1983,147,95,26,-6,99,61,287,0,10,39
1272,The Unforgettable Fire - Remastered 2009,U2,irish rock,1984,137,74,43,-9,10,23,294,0,3,46
1273,Bad - Remastered 2009,U2,irish rock,1984,99,68,37,-9,9,34,368,1,3,41
1275,Pride (In The Name Of Love) - Remastered 2009,U2,irish rock,1984,106,84,46,-7,78,71,228,0,3,59
1389,With Or Without You - Remastered,U2,irish rock,1987,110,43,54,-12,14,11,296,0,3,80
1390,Where The Streets Have No Name - Remastered,U2,irish rock,1987,126,72,49,-10,16,29,338,1,4,66
1391,I Still Haven't Found What I'm Looking For,U2,irish rock,1987,101,77,56,-9,9,66,277,1,4,76
1401,I Will Follow - Live,U2,irish rock,1987,140,90,23,-7,96,49,239,0,6,42
1411,Running To Stand Still,U2,irish rock,1987,95,20,54,-19,33,23,257,86,3,55
1425,Bullet The Blue Sky,U2,irish rock,1987,153,64,36,-10,13,45,272,1,4,55
1445,All I Want Is You,U2,irish rock,1988,186,44,24,-11,7,40,390,11,3,63
1448,When Love Comes To Town,U2,irish rock,1988,116,67,65,-11,13,59,254,5,4,50
1458,Angel Of Harlem,U2,irish rock,1988,103,69,52,-11,11,93,229,10,3,59
1531,One,U2,irish rock,1991,181,53,39,-9,16,33,276,25,4,77
1565,Mysterious Ways,U2,irish rock,1991,100,66,67,-8,11,70,244,0,3,63
1763,New Year's Day,U2,irish rock,1998,133,80,52,-6,61,63,257,0,3,58
67,Family Portrait,P!nk,dance pop,2001,92,69,76,-5,57,73,297,3,5,56
305,Dear Mr. President,P!nk,dance pop,2009,128,30,48,-9,11,30,281,85,4,43
416,Raise Your Glass,P!nk,dance pop,2010,122,71,70,-5,3,63,203,0,8,76
487,Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2012,95,55,78,-7,13,44,243,35,5,81
488,Try,P!nk,dance pop,2012,104,63,67,-7,9,55,248,0,3,73
687,What About Us,P!nk,dance pop,2017,114,59,49,-6,9,19,270,3,5,76
722,Beautiful Trauma,P!nk,dance pop,2017,96,62,41,-6,40,23,250,9,7,68
538,Pompeii,Bastille,metropopolis,2013,127,72,68,-6,27,57,214,8,4,70
559,Things We Lost In The Fire,Bastille,metropopolis,2013,134,92,59,-5,27,63,241,6,6,48
723,World Gone Mad,Bastille,metropopolis,2017,140,68,51,-3,18,36,196,28,3,64
47,Sweet Jane,Lou Reed,art rock,2008,115,46,83,-10,70,88,331,48,6,43
884,Perfect Day,Lou Reed,art rock,1972,145,27,40,-12,10,9,225,74,3,69
894,Walk On the Wild Side,Lou Reed,art rock,1972,105,32,57,-17,9,39,254,68,11,75
119,Use Somebody,Kings of Leon,modern rock,2008,137,72,28,-5,20,17,231,1,4,76
354,Sex on Fire,Kings of Leon,modern rock,2008,153,91,54,-6,14,37,203,0,5,79
426,Pyro,Kings of Leon,modern rock,2010,115,61,37,-7,10,19,251,1,4,66
431,Back Down South,Kings of Leon,modern rock,2010,117,62,48,-7,26,15,241,6,4,58
62,Solitary Man,Johnny Cash,arkansas country,2000,86,56,44,-7,25,70,144,35,3,47
294,Hurt,Johnny Cash,arkansas country,2002,90,39,53,-8,9,16,217,65,3,75
372,One,Johnny Cash,arkansas country,2000,94,50,51,-8,39,42,232,61,3,47
441,A Boy Named Sue (Live),Johnny Cash,arkansas country,2011,105,46,52,-16,78,89,218,93,5,18
499,San Quentin,Johnny Cash,arkansas country,2012,84,40,70,-14,90,82,158,56,6,27
808,I Walk the Line,Johnny Cash,arkansas country,1970,99,26,71,-15,10,56,177,88,4,71
902,A Thing Called Love,Johnny Cash,arkansas country,1972,156,50,53,-11,26,79,153,48,3,54
1833,Ring of Fire,Johnny Cash,arkansas country,1963,104,59,66,-8,35,78,158,62,3,71
1842,Folsom Prison Blues,Johnny Cash,arkansas country,1964,111,53,69,-10,28,78,156,19,3,58
620,Stressed Out,Twenty One Pilots,modern rock,2015,170,64,73,-6,6,65,202,5,14,83
676,Heathens,Twenty One Pilots,modern rock,2016,90,40,73,-9,11,55,196,8,3,81
111,Waiting On the World to Change,John Mayer,neo mellow,2006,177,76,58,-6,25,66,201,16,12,74
128,Daughters,John Mayer,neo mellow,2003,125,41,67,-8,10,50,238,84,3,68
157,Heartbreak Warfare,John Mayer,neo mellow,2009,97,55,62,-8,30,31,270,19,2,66
174,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,neo mellow,2008,173,30,32,-13,70,44,264,77,3,75
222,Gravity,John Mayer,neo mellow,2006,124,33,76,-10,24,24,246,73,3,75
264,Slow Dancing in a Burning Room,John Mayer,neo mellow,2006,134,36,67,-9,8,29,242,57,3,76
694,In the Blood,John Mayer,neo mellow,2017,80,66,55,-7,10,52,244,39,3,66
749,New Light,John Mayer,neo mellow,2018,124,69,83,-8,8,85,216,33,3,81
45,Breaking the Habit,Linkin Park,alternative metal,2003,100,85,58,-5,9,58,197,11,3,65
101,In the End,Linkin Park,alternative metal,2000,105,86,56,-6,21,40,217,1,6,83
263,Numb,Linkin Park,alternative metal,2003,110,86,50,-4,64,24,186,0,4,81
702,One More Light,Linkin Park,alternative metal,2017,84,20,59,-11,9,17,255,90,3,75
5,Waitin' On A Sunny Day,Bruce Springsteen,classic rock,2002,106,82,58,-5,10,87,256,1,3,59
104,"Trapped - Live at Meadowlands Arena, E. Rutherford, NJ - August 1984",Bruce Springsteen,classic rock,2003,162,62,32,-6,60,36,308,3,3,40
270,The Rising,Bruce Springsteen,classic rock,2002,110,76,50,-6,9,33,287,7,3,53
397,Working On a Dream,Bruce Springsteen,classic rock,2009,110,77,56,-7,22,71,209,0,3,48
967,Born to Run,Bruce Springsteen,classic rock,1975,146,94,27,-4,12,61,270,1,10,73
973,Thunder Road,Bruce Springsteen,classic rock,1975,141,76,37,-6,53,66,289,62,4,66
978,Jungleland,Bruce Springsteen,classic rock,1975,134,58,30,-6,7,18,576,37,3,51
997,Meeting Across the River,Bruce Springsteen,classic rock,1975,105,29,46,-10,18,26,197,82,3,43
1090,Badlands,Bruce Springsteen,classic rock,1978,123,78,61,-8,28,85,242,9,5,58
1153,The River,Bruce Springsteen,classic rock,1980,117,54,59,-11,31,59,302,18,3,66
1182,Hungry Heart,Bruce Springsteen,classic rock,1980,110,89,64,-7,16,97,199,9,3,69
1274,I'm On Fire,Bruce Springsteen,classic rock,1984,89,45,62,-14,7,87,156,59,3,74
1277,Dancing In the Dark,Bruce Springsteen,classic rock,1984,149,94,53,-6,19,50,241,1,4,77
1281,Born in the U.S.A.,Bruce Springsteen,classic rock,1984,122,95,40,-6,10,58,279,0,6,75
1283,My Hometown,Bruce Springsteen,classic rock,1984,117,34,65,-12,7,39,280,49,4,58
1291,Glory Days,Bruce Springsteen,classic rock,1984,117,96,57,-5,12,98,255,5,3,67
1310,No Surrender,Bruce Springsteen,classic rock,1984,154,95,35,-5,56,86,240,0,5,52
1374,"Fire - Live at the Winterland, San Francisco, CA - December 1978",Bruce Springsteen,classic rock,1986,120,32,43,-21,98,52,193,20,17,41
1397,Tougher Than the Rest,Bruce Springsteen,classic rock,1987,99,51,60,-11,11,60,274,20,2,62
1423,Brilliant Disguise,Bruce Springsteen,classic rock,1987,126,73,70,-12,3,95,255,15,3,57
1591,Human Touch,Bruce Springsteen,classic rock,1992,115,52,65,-14,10,45,389,0,3,58
1659,Streets of Philadelphia - Single Edit,Bruce Springsteen,classic rock,1995,94,29,74,-13,9,44,195,29,3,70
1688,Secret Garden,Bruce Springsteen,classic rock,1995,87,33,52,-14,12,12,267,58,3,61
642,Be the One,Dua Lipa,dance pop,2015,87,65,66,-4,6,37,203,12,5,73
721,Homesick,Dua Lipa,dance pop,2017,86,22,43,-9,11,40,230,95,4,71
